#,DEX,ID,NAME,FAST,CHARGE,Fast DPS,Charge DPS,Useless,Weave DPS,Fast%,NOTES,OFF %,DEF %, ,Comb Rank,DPS,OFF TDO,OFF TDO %,DEF TDO,DEF TDO %,EHP,MAX CP,,Comb Rank_1,EHP_1,DPS_1,OFF TDO_1,,Comb Rank_3,EHP_3,DPS_3,OFF TDO_3
400,46,53,Paras,Bug Bite,Cross Poison,4.8,8.9,,6.7,52%,,83%,72%,,4352,6.7,70,9.7%,45,9.0%,54,1018,,4254,54,6.7,70,,3633,86,6.7,112
401,46,53,Paras,Bug Bite,X Scissor,4.8,11.2,,8.0,50%,,99%,91%,,4135,8.0,83,11.5%,57,11.5%,54,1018,,4071,54,8.0,83,,3404,86,8.0,132
402,46,53,Paras,Bug Bite,Seed Bomb,4.8,10.4,,8.1,42%,,100%,100%,,4064,8.1,84,11.6%,63,12.6%,54,1018,,4054,54,8.1,84,,2703,86,11.8,195
403,47,54,Parasect,Bug Bite,Cross Poison,6.0,11.6,,8.5,56%,LEGACY,71%,58%,,3283,8.5,166,23.1%,110,21.9%,102,1859,,3205,102,8.5,166,,1993,163,8.5,266
404,47,54,Parasect,Bug Bite,X Scissor,6.0,14.7,,10.0,54%,LEGACY,84%,73%,,2899,10.0,196,27.1%,140,27.9%,102,1859,,2878,102,10.0,196,,1571,163,10.0,313
405,47,54,Parasect,Bug Bite,Solar Beam,6.0,19.4,,12.0,56%,LEGACY,100%,97%,,2287,12.0,234,32.4%,184,36.7%,102,1859,,2541,102,12.0,234,,428,163,17.1,536
406,47,54,Parasect,Fury Cutter,Cross Poison,4.9,11.6,,8.2,51%,,68%,56%,,3363,8.2,160,22.2%,107,21.3%,102,1859,,3298,102,8.2,160,,2070,163,8.2,256
407,47,54,Parasect,Fury Cutter,X Scissor,4.9,14.7,,9.8,50%,,82%,72%,,2933,9.8,192,26.6%,137,27.4%,102,1859,,2938,102,9.8,192,,1630,163,9.8,307
408,47,54,Parasect,Fury Cutter,Solar Beam,4.9,19.4,,11.9,51%,,100%,100%,,2233,11.9,233,32.4%,191,38.0%,102,1859,,2545,102,11.9,233,,395,163,17.6,550
409,47,54,Parasect,Struggle Bug,Cross Poison,5.6,11.6,,8.1,58%,,68%,60%,,3287,8.1,159,22.0%,115,22.8%,102,1859,,3310,102,8.1,159,,2086,163,8.1,254
410,47,54,Parasect,Struggle Bug,X Scissor,5.6,14.7,,9.6,56%,,80%,74%,,2937,9.6,187,25.9%,140,28.0%,102,1859,,2998,102,9.6,187,,1701,163,9.6,299
411,47,54,Parasect,Struggle Bug,Solar Beam,5.6,19.4,,11.4,58%,,95%,99%,,2312,11.4,222,30.9%,189,37.6%,102,1859,,2634,102,11.4,222,,514,163,16.3,509
412,48,55,Venonat,Bug Bite,Psybeam,4.2,6.2,,5.4,42%,,80%,74%,,4170,5.4,76,10.5%,60,11.9%,74,1004,,4180,74,5.4,76,,4036,74,5.4,76
413,48,55,Venonat,Bug Bite,Poison Fang,4.2,7.0,,5.6,48%,,84%,66%,,4206,5.6,80,11.1%,53,10.6%,74,1004,,4122,74,5.6,80,,3978,74,5.6,80
414,48,55,Venonat,Bug Bite,Signal Beam,4.2,8.8,,6.7,45%,,100%,96%,,3864,6.7,95,13.1%,77,15.4%,74,1004,,3921,74,6.7,95,,3820,74,6.7,95
415,48,55,Venonat,Confusion,Psybeam,3.8,6.2,,5.1,46%,,77%,80%,,4130,5.1,72,10.0%,65,12.9%,74,1004,,4223,74,5.1,72,,4084,74,5.1,72
416,48,55,Venonat,Confusion,Poison Fang,3.8,7.0,,5.4,52%,,80%,75%,,4159,5.4,76,10.5%,61,12.1%,74,1004,,4181,74,5.4,76,,4037,74,5.4,76
417,48,55,Venonat,Confusion,Signal Beam,3.8,8.8,,6.3,49%,,95%,100%,,3865,6.3,90,12.4%,81,16.1%,74,1004,,3982,74,6.3,90,,3865,74,6.3,90
418,49,56,Venomoth,Bug Bite,Poison Fang,6.4,11.7,,8.9,52%,LEGACY,83%,65%,,3039,8.9,188,26.1%,128,25.5%,109,2082,,2984,109,8.9,188,,2807,109,8.9,188
419,49,56,Venomoth,Bug Bite,Psychic,6.4,16.9,,9.6,69%,LEGACY,90%,66%,,2934,9.6,203,28.1%,130,25.9%,109,2082,,2811,109,9.6,203,,2626,109,9.6,203
420,49,56,Venomoth,Bug Bite,Bug Buzz,6.4,13.9,,10.7,42%,LEGACY,100%,100%,,2235,10.7,226,31.3%,195,39.0%,109,2082,,2606,109,10.7,226,,2366,109,10.7,226
421,49,56,Venomoth,Bug Bite,Silver Wind,6.4,10.8,,9.5,29%,LEGACY+TM,89%,90%,,2525,9.5,201,27.9%,177,35.2%,109,2082,,2838,109,9.5,201,,2646,109,9.5,201
422,49,56,Venomoth,Confusion,Poison Fang,6.2,11.7,,8.6,55%,LEGACY,80%,70%,,3007,8.6,182,25.2%,137,27.2%,109,2082,,3052,109,8.6,182,,2874,109,8.6,182
423,49,56,Venomoth,Confusion,Psychic,6.2,16.9,,9.2,72%,,85%,76%,,2830,9.2,193,26.8%,148,29.5%,109,2082,,2905,109,9.2,193,,2727,109,9.2,193
424,49,56,Venomoth,Confusion,Bug Buzz,6.2,13.9,,10.4,45%,,97%,100%,,2281,10.4,218,30.3%,196,39.0%,109,2082,,2671,109,10.4,218,,2473,109,10.4,218
425,49,56,Venomoth,Confusion,Silver Wind,6.2,10.8,,9.3,32%,,87%,96%,,2463,9.3,197,27.3%,188,37.5%,109,2082,,2867,109,9.3,197,,2686,109,9.3,197
426,49,56,Venomoth,Infestation,Poison Fang,5.5,11.7,,8.6,50%,LEGACY+TM,80%,66%,,3063,8.6,181,25.1%,128,25.6%,109,2082,,3059,109,8.6,181,,2876,109,8.6,181
427,49,56,Venomoth,Infestation,Psychic,5.5,16.9,,9.2,67%,,86%,69%,,2942,9.2,194,26.9%,135,26.8%,109,2082,,2890,109,9.2,194,,2711,109,9.2,194
428,49,56,Venomoth,Infestation,Bug Buzz,5.5,13.9,,10.5,40%,,98%,97%,,2310,10.5,222,30.7%,190,37.8%,109,2082,,2640,109,10.5,222,,2431,109,10.5,222
429,49,56,Venomoth,Infestation,Silver Wind,5.5,10.8,,9.4,27%,,87%,94%,,2482,9.4,197,27.4%,185,36.8%,109,2082,,2865,109,9.4,197,,2681,109,9.4,197
430,50,57,Diglett,Mud Shot,Dig,3.7,7.8,,6.7,26%,LEGACY,95%,90%,,4648,6.7,37,5.1%,35,7.0%,29,676,,4667,29,6.7,37,,4716,18,6.7,23
431,50,57,Diglett,Mud Shot,Mud Bomb,3.7,8.7,,7.0,35%,LEGACY,99%,78%,,4662,7.0,38,5.3%,31,6.1%,29,676,,4656,29,7.0,38,,4711,18,7.0,24
432,50,57,Diglett,Mud Shot,Rock Tomb,3.7,6.7,,5.5,39%,LEGACY,78%,66%,,4695,5.5,30,4.2%,26,5.1%,29,676,,4696,29,5.5,30,,4735,18,5.5,19
433,50,57,Diglett,Mud Slap,Dig,4.2,7.8,,6.7,30%,,95%,100%,,4630,6.7,37,5.1%,39,7.8%,29,676,,4668,29,6.7,37,,4717,18,6.7,23
434,50,57,Diglett,Mud Slap,Mud Bomb,4.2,8.7,,7.0,39%,,98%,87%,,4649,7.0,38,5.3%,34,6.8%,29,676,,4657,29,7.0,38,,4712,18,7.0,24
435,50,57,Diglett,Mud Slap,Rock Tomb,4.2,6.7,,5.6,44%,,79%,74%,,4681,5.6,31,4.3%,29,5.8%,29,676,,4694,29,5.6,31,,4734,18,5.6,19
436,50,57,Diglett,Scratch,Dig,4.4,7.8,,6.8,30%,,96%,79%,,4663,6.8,37,5.2%,31,6.1%,29,676,,4663,29,6.8,37,,4715,18,6.8,23
437,50,57,Diglett,Scratch,Mud Bomb,4.4,8.7,,7.1,39%,,100%,69%,,4673,7.1,39,5.4%,27,5.3%,29,676,,4653,29,7.1,39,,4709,18,7.1,24
438,50,57,Diglett,Scratch,Rock Tomb,4.4,6.7,,5.7,43%,,81%,57%,,4700,5.7,32,4.4%,22,4.5%,29,676,,4691,29,5.7,32,,4730,18,5.7,20
439,50,58,Diglett (Alola),Mud Slap,Dig,4.2,7.7,,6.6,31%,,93%,100%,,4623,6.6,38,5.2%,40,8.0%,29,681,,4365,47,6.6,60,,4714,18,6.6,24
440,50,58,Diglett (Alola),Mud Slap,Mud Bomb,4.2,8.7,,6.9,40%,,96%,87%,,4642,6.9,39,5.4%,35,7.0%,29,681,,4344,47,6.9,62,,4706,18,6.9,24
441,50,58,Diglett (Alola),Mud Slap,Rock Tomb,4.2,6.7,,5.6,44%,,78%,73%,,4677,5.6,32,4.4%,29,5.8%,29,681,,4510,47,5.6,50,,4731,18,5.6,20
442,50,58,Diglett (Alola),Metal Claw,Dig,4.7,7.7,,6.9,29%,,96%,92%,,4636,6.9,39,5.4%,37,7.3%,29,681,,4343,47,6.9,62,,4720,18,6.4,23
443,50,58,Diglett (Alola),Metal Claw,Mud Bomb,4.7,8.7,,7.2,38%,,100%,80%,,4653,7.2,41,5.6%,32,6.4%,29,681,,4303,47,7.2,65,,4718,18,6.5,23
444,50,58,Diglett (Alola),Metal Claw,Rock Tomb,4.7,6.7,,5.8,42%,,81%,68%,,4685,5.8,33,4.6%,27,5.4%,29,681,,4480,47,5.8,53,,4737,18,5.1,18
445,51,59,Dugtrio,Sucker Punch,Earthquake,5.0,17.8,,9.7,63%,,99%,87%,,3560,9.7,131,18.2%,93,18.6%,71,1567,,3562,71,9.7,131,,3946,44,9.7,82
446,51,59,Dugtrio,Sucker Punch,Mud Bomb,5.0,12.7,,9.4,43%,,96%,98%,,3505,9.4,128,17.7%,105,21.0%,71,1567,,3612,71,9.4,128,,3981,44,9.4,80
447,51,59,Dugtrio,Sucker Punch,Stone Edge,5.0,19.2,,8.8,73%,,90%,70%,,3731,8.8,119,16.5%,75,15.0%,71,1567,,3674,71,8.8,119,,4050,44,8.8,74
448,51,59,Dugtrio,Mud Shot,Earthquake,5.1,17.8,,9.8,63%,LEGACY,99%,88%,,3542,9.8,132,18.4%,95,19.0%,71,1567,,3553,71,9.8,132,,3939,44,9.8,83
449,51,59,Dugtrio,Mud Shot,Mud Bomb,5.1,12.7,,9.5,43%,LEGACY,96%,100%,,3488,9.5,128,17.8%,108,21.5%,71,1567,,3605,71,9.5,128,,3971,44,9.5,80
450,51,59,Dugtrio,Mud Shot,Stone Edge,5.1,19.2,,8.9,73%,LEGACY,90%,71%,,3719,8.9,120,16.7%,77,15.3%,71,1567,,3665,71,8.9,120,,4048,44,8.9,75
451,51,59,Dugtrio,Mud Slap,Earthquake,6.0,17.8,,9.8,68%,,100%,97%,,3489,9.8,133,18.5%,104,20.7%,71,1567,,3549,71,9.8,133,,3933,44,9.8,83
452,51,59,Dugtrio,Mud Slap,Mud Bomb,6.0,12.7,,9.5,48%,,97%,100%,,3484,9.5,129,17.9%,107,21.4%,71,1567,,3598,71,9.5,129,,3966,44,9.5,81
453,51,59,Dugtrio,Mud Slap,Stone Edge,6.0,19.2,,9.1,77%,,92%,83%,,3618,9.1,123,17.0%,89,17.7%,71,1567,,3642,71,9.1,123,,4021,44,9.1,77
454,51,60,Dugtrio (Alola),Metal Claw,Earthquake,7.7,21.1,,12.3,66%,,100%,91%,,3201,12.3,173,24.0%,118,23.6%,73,1897,,2101,117,12.3,276,,3851,46,10.3,91
455,51,60,Dugtrio (Alola),Metal Claw,Mud Bomb,7.7,15.1,,11.7,46%,,95%,100%,,3130,11.7,165,22.9%,131,26.1%,73,1897,,2220,117,11.7,264,,3847,46,10.4,91
456,51,60,Dugtrio (Alola),Metal Claw,Iron Head,7.7,19.8,,12.1,63%,,99%,89%,,3220,12.1,171,23.7%,116,23.2%,73,1897,,2127,117,12.1,273,,4166,46,7.6,67
457,51,60,Dugtrio (Alola),Mud Slap,Earthquake,7.1,21.1,,11.5,68%,,94%,97%,,3191,11.5,163,22.6%,126,25.2%,73,1897,,2238,117,11.5,260,,3744,46,11.5,102
458,51,60,Dugtrio (Alola),Mud Slap,Mud Bomb,7.1,15.1,,11.2,48%,,91%,100%,,3189,11.2,158,21.9%,130,25.9%,73,1897,,2329,117,11.2,253,,3772,46,11.2,99
459,51,60,Dugtrio (Alola),Mud Slap,Iron Head,7.1,19.8,,11.4,66%,,93%,92%,,3233,11.4,161,22.4%,121,24.1%,73,1897,,2263,117,11.4,258,,4003,46,8.9,78
460,52,61,Meowth,Scratch,Night Slash,4.6,6.0,,5.4,40%,,82%,83%,,4622,5.4,50,6.9%,32,6.3%,47,748,,4523,47,5.4,50,,4439,47,5.4,50
461,52,61,Meowth,Scratch,Dark Pulse,4.6,7.0,,5.9,45%,,90%,98%,,4505,5.9,54,7.5%,38,7.5%,47,748,,4470,47,5.9,54,,4366,47,5.9,54
462,52,61,Meowth,Scratch,Body Slam,4.6,8.3,,6.6,45%,LEGACY,100%,100%,,4464,6.6,60,8.3%,38,7.7%,47,748,,4368,47,6.6,60,,4250,47,6.6,60
463,52,61,Meowth,Scratch,Foul Play,4.6,9.2,,6.5,57%,,99%,98%,,4471,6.5,59,8.2%,38,7.5%,47,748,,4374,47,6.5,59,,4257,47,6.5,59
464,52,61,Meowth,Bite,Night Slash,3.9,6.0,,5.2,40%,,79%,81%,,4634,5.2,47,6.6%,31,6.2%,47,748,,4557,47,5.2,47,,4470,47,5.2,47
465,52,61,Meowth,Bite,Dark Pulse,3.9,7.0,,5.7,45%,,86%,96%,,4555,5.7,52,7.1%,37,7.3%,47,748,,4497,47,5.7,52,,4413,47,5.7,52
466,52,61,Meowth,Bite,Body Slam,3.9,8.3,,6.3,45%,LEGACY,96%,98%,,4484,6.3,58,8.0%,38,7.5%,47,748,,4427,47,6.3,58,,4312,47,6.3,58
467,52,61,Meowth,Bite,Foul Play,3.9,9.2,,6.2,57%,,94%,96%,,4499,6.2,56,7.8%,37,7.3%,47,748,,4448,47,6.2,56,,4336,47,6.2,56
468,52,62,Meowth (Alola),Scratch,Night Slash,4.1,7.7,,6.2,40%,,81%,83%,,4482,6.2,57,7.9%,38,7.6%,47,797,,4441,47,6.2,57,,4328,47,6.2,57
469,52,62,Meowth (Alola),Scratch,Dark Pulse,4.1,9.0,,6.8,45%,,88%,98%,,4415,6.8,62,8.6%,46,9.1%,47,797,,4352,47,6.8,62,,4230,47,6.8,62
470,52,62,Meowth (Alola),Scratch,Foul Play,4.1,11.7,,7.4,57%,,95%,98%,,4372,7.4,67,9.3%,45,9.0%,47,797,,4280,47,7.4,67,,4158,47,7.4,67
471,52,62,Meowth (Alola),Bite,Night Slash,4.8,7.7,,6.5,40%,,84%,84%,,4463,6.5,59,8.2%,39,7.8%,47,797,,4379,47,6.5,59,,4262,47,6.5,59
472,52,62,Meowth (Alola),Bite,Dark Pulse,4.8,9.0,,7.1,45%,,92%,100%,,4374,7.1,65,9.0%,46,9.3%,47,797,,4309,47,7.1,65,,4194,47,7.1,65
473,52,62,Meowth (Alola),Bite,Foul Play,4.8,11.7,,7.7,57%,,100%,100%,,4324,7.7,70,9.8%,46,9.2%,47,797,,4248,47,7.7,70,,4113,47,7.7,70
474,53,63,Persian,Scratch,Night Slash,6.5,9.2,,7.8,51%,LEGACY,85%,76%,,3428,7.8,150,20.8%,99,19.8%,100,1689,,3399,100,7.8,150,,3210,100,7.8,150
475,53,63,Persian,Scratch,Power Gem,6.5,11.1,,8.6,56%,,93%,91%,,3230,8.6,164,22.8%,119,23.7%,100,1689,,3235,100,8.6,164,,3067,100,8.6,164
476,53,63,Persian,Scratch,Play Rough,6.5,12.5,,9.2,56%,,100%,100%,,3065,9.2,176,24.4%,131,26.2%,100,1689,,3111,100,9.2,176,,2945,100,9.2,176
477,53,63,Persian,Scratch,Foul Play,6.5,14.0,,9.1,66%,,99%,90%,,3196,9.1,174,24.2%,118,23.5%,100,1689,,3128,100,9.1,174,,2960,100,9.1,174
478,53,63,Persian,Feint Attack,Night Slash,4.9,9.2,,7.2,47%,LEGACY,79%,82%,,3429,7.2,138,19.2%,107,21.4%,100,1689,,3510,100,7.2,138,,3348,100,7.2,138
479,53,63,Persian,Feint Attack,Power Gem,4.9,11.1,,8.0,51%,,87%,91%,,3284,8.0,153,21.2%,119,23.7%,100,1689,,3379,100,8.0,153,,3180,100,8.0,153
480,53,63,Persian,Feint Attack,Play Rough,4.9,12.5,,8.6,51%,,94%,100%,,3126,8.6,166,23.0%,131,26.1%,100,1689,,3229,100,8.6,166,,3064,100,8.6,166
481,53,63,Persian,Feint Attack,Foul Play,4.9,14.0,,8.4,62%,,92%,88%,,3270,8.4,162,22.4%,116,23.0%,100,1689,,3266,100,8.4,162,,3084,100,8.4,162
482,53,64,Persian (Alola),Scratch,Foul Play,5.8,17.6,,9.8,66%,,94%,95%,,2928,9.8,189,26.2%,140,27.9%,100,1771,,2961,100,9.8,189,,2781,100,9.8,189
483,53,64,Persian (Alola),Scratch,Dark Pulse,5.8,13.5,,9.3,55%,,89%,95%,,2994,9.3,178,24.8%,141,28.1%,100,1771,,3082,100,9.3,178,,2905,100,9.3,178
484,53,64,Persian (Alola),Scratch,Play Rough,5.8,13.1,,9.0,56%,,86%,91%,,3054,9.0,174,24.1%,135,26.8%,100,1771,,3141,100,9.0,174,,2970,100,9.0,174
485,53,64,Persian (Alola),Feint Attack,Foul Play,6.1,17.6,,10.5,62%,,100%,98%,,2814,10.5,201,27.9%,144,28.8%,100,1771,,2830,100,10.5,201,,2639,100,10.5,201
486,53,64,Persian (Alola),Feint Attack,Dark Pulse,6.1,13.5,,9.8,50%,,93%,100%,,2877,9.8,188,26.0%,148,29.4%,100,1771,,2986,100,9.8,188,,2809,100,9.8,188
487,53,64,Persian (Alola),Feint Attack,Play Rough,6.1,13.1,,9.5,51%,,91%,96%,,2954,9.5,182,25.3%,141,28.2%,100,1771,,3047,100,9.5,182,,2869,100,9.5,182
488,54,65,Psyduck,Water Gun,Psybeam,4.8,7.4,,6.2,44%,,79%,74%,,4190,6.2,76,10.5%,58,11.5%,63,1106,,4182,63,6.2,76,,3704,101,5.4,106
489,54,65,Psyduck,Water Gun,Aqua Tail,4.8,10.6,,7.9,47%,,100%,86%,,3947,7.9,95,13.2%,67,13.4%,63,1106,,3912,63,7.9,95,,3812,101,4.9,95
490,54,65,Psyduck,Water Gun,Cross Chop,4.8,11.1,,6.9,66%,,88%,69%,,4167,6.9,84,11.7%,54,10.8%,63,1106,,3741,63,9.2,111,,3636,101,5.7,111
491,54,65,Psyduck,Zen Headbutt,Psybeam,4.0,7.4,,5.9,46%,,75%,81%,,4161,5.9,71,9.9%,63,12.6%,63,1106,,4239,63,5.9,71,,3612,101,5.9,114
492,54,65,Psyduck,Zen Headbutt,Aqua Tail,4.0,10.6,,7.4,48%,,95%,100%,,3878,7.4,90,12.5%,78,15.6%,63,1106,,3977,63,7.4,90,,3718,101,5.4,104
493,54,65,Psyduck,Zen Headbutt,Cross Chop,4.0,11.1,,6.4,67%,,81%,74%,,4182,6.4,77,10.7%,58,11.5%,63,1106,,3828,63,8.5,104,,3504,101,6.4,123
494,55,66,Golduck,Water Gun,Psychic,6.7,17.9,,9.8,73%,,82%,67%,,2356,9.8,253,35.1%,162,32.2%,134,2450,,2325,134,9.8,253,,1470,215,8.0,329
495,55,66,Golduck,Water Gun,Hydro Pump,6.7,23.7,,12.0,69%,,100%,93%,,1573,12.0,309,42.9%,223,44.5%,134,2450,,1796,134,12.0,309,,1613,215,7.5,309
496,55,66,Golduck,Water Gun,Ice Beam,6.7,13.7,,10.2,50%,,86%,89%,,1870,10.2,265,36.7%,215,42.8%,134,2450,,2212,134,10.2,265,,2003,215,6.4,265
497,55,66,Golduck,Confusion,Psychic,6.6,17.9,,9.6,73%,,81%,79%,,2156,9.6,249,34.6%,189,37.6%,134,2450,,2354,134,9.6,249,,1020,215,9.6,399
498,55,66,Golduck,Confusion,Hydro Pump,6.6,23.7,,11.8,69%,,99%,100%,,1480,11.8,305,42.4%,240,47.9%,134,2450,,1845,134,11.8,305,,1154,215,9.1,376
499,55,66,Golduck,Confusion,Ice Beam,6.6,13.7,,10.1,50%,,85%,92%,,1840,10.1,262,36.3%,222,44.2%,134,2450,,2228,134,10.1,262,,1570,215,7.6,313
500,56,67,Mankey,Karate Chop,Cross Chop,5.3,15.7,,9.3,61%,,100%,100%,,3963,9.3,89,12.3%,70,14.0%,49,1164,,3468,49,14.9,142,,3877,49,9.3,89
501,56,67,Mankey,Karate Chop,Low Sweep,5.3,10.1,,8.1,41%,,87%,86%,,4157,8.1,77,10.7%,60,12.0%,49,1164,,3640,49,13.0,123,,4020,49,8.1,77
502,56,67,Mankey,Karate Chop,Brick Break,5.3,11.9,,8.8,46%,,94%,91%,,4058,8.8,84,11.6%,64,12.7%,49,1164,,3545,49,14.1,134,,3925,49,8.8,84
503,56,67,Mankey,Scratch,Cross Chop,5.5,15.7,,9.0,66%,,96%,76%,,4165,9.0,85,11.8%,53,10.6%,49,1164,,3705,49,12.2,116,,3909,49,9.0,85
504,56,67,Mankey,Scratch,Low Sweep,5.5,10.1,,8.0,46%,,85%,69%,,4276,8.0,76,10.5%,48,9.7%,49,1164,,3807,49,11.2,106,,4041,49,8.0,76
505,56,67,Mankey,Scratch,Brick Break,5.5,11.9,,8.6,52%,,92%,72%,,4217,8.6,81,11.3%,51,10.1%,49,1164,,3717,49,12.0,114,,3955,49,8.6,81
506,57,68,Primeape,Low Kick,Cross Chop,7.1,21.3,,11.5,69%,LEGACY,85%,92%,,2572,11.5,223,31.0%,155,31.0%,101,2288,,1419,101,18.4,357,,2415,101,11.5,223
507,57,68,Primeape,Low Kick,Low Sweep,7.1,13.6,,10.2,52%,,76%,87%,,2803,10.2,199,27.6%,147,29.3%,101,2288,,1703,101,16.4,319,,2663,101,10.2,199
508,57,68,Primeape,Low Kick,Night Slash,7.1,12.3,,9.8,47%,,73%,86%,,2874,9.8,191,26.5%,145,28.9%,101,2288,,2570,101,11.8,230,,2760,101,9.8,191
509,57,68,Primeape,Low Kick,Close Combat,7.1,28.0,,12.2,75%,,91%,95%,,2457,12.2,237,32.9%,160,32.0%,101,2288,,1191,101,19.5,380,,2268,101,12.2,237
510,57,68,Primeape,Karate Chop,Cross Chop,7.0,21.3,,12.0,65%,LEGACY,89%,88%,,2578,12.0,233,32.3%,148,29.5%,101,2288,,1256,101,19.2,372,,2305,101,12.0,233
511,57,68,Primeape,Karate Chop,Low Sweep,7.0,13.6,,10.5,47%,LEGACY,78%,87%,,2773,10.5,204,28.3%,146,29.2%,101,2288,,1647,101,16.8,326,,2608,101,10.5,204
512,57,68,Primeape,Karate Chop,Night Slash,7.0,12.3,,10.0,43%,LEGACY,74%,87%,,2842,10.0,195,27.0%,146,29.1%,101,2288,,2574,101,11.8,229,,2704,101,10.0,195
513,57,68,Primeape,Karate Chop,Close Combat,7.0,28.0,,12.8,72%,LEGACY+TM,96%,94%,,2407,12.8,250,34.6%,158,31.5%,101,2288,,1048,101,20.6,400,,2128,101,12.8,250
514,57,68,Primeape,Counter,Cross Chop,9.0,21.3,,12.7,70%,LEGACY+TM,94%,94%,,2429,12.7,246,34.1%,158,31.5%,101,2288,,1084,101,20.3,394,,2190,101,12.7,246
515,57,68,Primeape,Counter,Low Sweep,9.0,13.6,,11.2,53%,,83%,91%,,2611,11.2,217,30.2%,153,30.6%,101,2288,,1490,101,17.9,348,,2482,101,11.2,217
516,57,68,Primeape,Counter,Night Slash,9.0,12.3,,10.7,49%,,80%,91%,,2690,10.7,208,28.9%,153,30.4%,101,2288,,2054,101,14.5,281,,2562,101,10.7,208
517,57,68,Primeape,Counter,Close Combat,9.0,28.0,,13.4,77%,,100%,100%,,2258,13.4,261,36.3%,168,33.6%,101,2288,,896,101,21.5,418,,2025,101,13.4,261
518,58,69,Growlithe,Ember,Flame Wheel,4.8,9.9,,7.4,49%,,83%,84%,,3850,7.4,93,12.9%,80,15.9%,66,1243,,3938,66,7.4,93,,4612,41,4.6,36
519,58,69,Growlithe,Ember,Body Slam,4.8,9.7,,7.5,46%,,83%,81%,,3869,7.5,94,13.1%,77,15.4%,66,1243,,3933,66,7.5,94,,4396,41,6.6,52
520,58,69,Growlithe,Ember,Flamethrower,4.8,14.0,,8.9,55%,,100%,100%,,3623,8.9,113,15.6%,95,19.0%,66,1243,,3728,66,8.9,113,,4522,41,5.6,44
521,58,69,Growlithe,Bite,Flame Wheel,5.2,9.9,,7.4,52%,,83%,70%,,3965,7.4,94,13.0%,67,13.3%,66,1243,,3935,66,7.4,94,,4519,41,5.7,45
522,58,69,Growlithe,Bite,Body Slam,5.2,9.7,,7.5,49%,,84%,65%,,4002,7.5,95,13.1%,62,12.3%,66,1243,,3922,66,7.5,95,,4263,41,7.5,59
523,58,69,Growlithe,Bite,Flamethrower,5.2,14.0,,8.9,58%,,99%,84%,,3735,8.9,112,15.6%,80,15.9%,66,1243,,3732,66,8.9,112,,4392,41,6.7,53
524,59,70,Arcanine,Fire Fang,Fire Blast,9.0,23.6,,14.1,65%,,100%,89%,,715,14.1,403,55.9%,281,56.0%,148,3029,,1023,148,14.1,403,,3134,93,8.8,157
525,59,70,Arcanine,Fire Fang,Flamethrower,9.0,22.3,,14.0,63%,LEGACY,99%,86%,,807,14.0,399,55.4%,273,54.4%,148,3029,,1052,148,14.0,399,,3152,93,8.7,156
526,59,70,Arcanine,Fire Fang,Bulldoze,9.0,13.5,,11.3,50%,LEGACY,80%,76%,,1416,11.3,322,44.6%,239,47.8%,148,3029,,1674,148,11.3,322,,2997,93,9.6,171
527,59,70,Arcanine,Fire Fang,Wild Charge,9.0,20.3,,13.7,58%,,97%,88%,,800,13.7,392,54.4%,278,55.5%,148,3029,,1096,148,13.7,392,,1697,93,16.8,300
528,59,70,Arcanine,Fire Fang,Crunch,9.0,12.9,,11.4,40%,,81%,83%,,1266,11.4,325,45.1%,263,52.4%,148,3029,,1649,148,11.4,325,,2893,93,10.1,179
529,59,70,Arcanine,Bite,Fire Blast,7.7,23.6,,12.9,67%,LEGACY,91%,100%,,659,12.9,369,51.1%,315,62.9%,148,3029,,1297,148,12.9,369,,2901,93,10.0,179
530,59,70,Arcanine,Bite,Flamethrower,7.7,22.3,,12.8,65%,LEGACY,91%,88%,,940,12.8,366,50.8%,279,55.6%,148,3029,,1322,148,12.8,366,,2926,93,9.9,177
531,59,70,Arcanine,Bite,Bulldoze,7.7,13.5,,10.5,53%,LEGACY,74%,74%,,1551,10.5,299,41.5%,233,46.5%,148,3029,,1906,148,10.5,299,,2813,93,10.5,187
532,59,70,Arcanine,Bite,Wild Charge,7.7,20.3,,12.7,61%,LEGACY+TM,90%,90%,,927,12.7,361,50.1%,283,56.5%,148,3029,,1373,148,12.7,361,,1601,93,17.5,311
533,59,70,Arcanine,Bite,Crunch,7.7,12.9,,10.8,42%,LEGACY+TM,76%,77%,,1460,10.8,307,42.6%,242,48.3%,148,3029,,1825,148,10.8,307,,2750,93,10.8,192
534,59,70,Arcanine,Snarl,Fire Blast,6.8,23.6,,13.3,61%,,94%,89%,,854,13.3,379,52.6%,282,56.3%,148,3029,,1199,148,13.3,379,,2941,93,9.9,176
535,59,70,Arcanine,Snarl,Flamethrower,6.8,22.3,,13.2,59%,LEGACY+TM,93%,86%,,945,13.2,376,52.2%,271,54.0%,148,3029,,1224,148,13.2,376,,2967,93,9.7,174
536,59,70,Arcanine,Snarl,Bulldoze,6.8,13.5,,10.4,46%,LEGACY+TM,74%,75%,,1517,10.4,298,41.3%,237,47.3%,148,3029,,1914,148,10.4,298,,2827,93,10.4,186
537,59,70,Arcanine,Snarl,Wild Charge,6.8,20.3,,13.0,54%,,92%,88%,,931,13.0,370,51.3%,277,55.3%,148,3029,,1286,148,13.0,370,,1456,93,18.5,330
